"text","Custome Sentiment","topic 1","topic 2","topic 3","Name"
"I logged onto my account to ask two simple questions.  How much does it cost to add a phone/watch onto the account and what ones are compatible?  The person helping me in the chat was doing fine until I had to suddenly leave my desk.  Upon my return I messaged, but understandably the person was not there.","","","","","Parth"
"Attempted to call by phone and Mr. very broken English was of little help.","","","","","Parth"
"I REALLY need help resolving my issue immediately. It's been three months and still the run around on a product T-Mobile ","","","","","Parth"
" I called to go over my bill with t-mobile today, and was informed that I am paying for two galaxy note 8 cases that I returned over a year and a half ago. ","","","","","Parth"
"I could go on an on, but this is the worst service from any of my previous carriers, and the only reason I join up with t-mobile is no contract.","","","","","Aman"
"Tmobile sales rep charged me jump when I told him 3x on different days not to","","","","","Aman"
"5 months later, and $200+ dollars later Tmobile accused me of being irresponsible for not reviewing my bills and not notifying in a timely manner.","","","","","Aman"
"I received an iPhone that wasn’t the color I ordered","","","","","Aman"
"actually i want my bill summary of my connection: [protected] outgoing & in coming detail of dec - 20008 please do the need full","","","","","Geetanjali"
"They deducted rs 200 from my account on basis of activation of any service which i never opted for","","","","","Geetanjali"
"inspite of repeated calls to there customer care i dint get good response","","","","","Geetanjali"
"wen i wantd to talk to superviser no one attended my call n my call was put on hold n finally disconnected","","","","","Geetanjali"
"can you give me detais of 8888888 mobile number","","","","","Rohit"
"We regret to inform you that incoming call details cannot be provided","","","","","Parth"
"I have entered the wrong pincode so now its asking for the puk code. Kindly send me the number ","","","","","Parth"
"it is on roaming. it is now JHARKHAND - BOKARO - CHANDRAPURA. there is no network of vodafone. but it is automatically taken ""IND reliance"".","","","","","Rohit"
"My phone number is [protected]. Can you tell me my phone's email address?","","","","","Parth"
"actually i am throwing the vodafone sim card and going to take airtel","","","","","Parth"
"I have traveled to uae on international roaming pack of rs 149.in the 10 days since my arrival, i have received exactly one call. However, my vodafone bill has reached an alarming 9226 rs! The reason cited is data usage. ","","","","","Saurabh"
